#m(g),m(kg),u[m](kg),V(mL),u[V](mL),V(m^3),u[V] (m^3),1/V (1/m^3),u[1/V](1/m^3)
200,0.2,0.002,2.4,0.1,0.0000024,0.0000001,416666.6667,17361.11111
300,0.3,0.003,2.7,0.1,0.0000027,0.0000001,370370.3704,13717.42112
400,0.4,0.004,3,0.1,0.000003,0.0000001,333333.3333,11111.11111
500,0.5,0.005,3.4,0.1,0.0000034,0.0000001,294117.6471,8650.519031
600,0.6,0.006,3.8,0.1,0.0000038,0.0000001,263157.8947,6925.207756
700,0.7,0.007,4.4,0.1,0.0000044,0.0000001,227272.7273,5165.289256
800,0.8,0.008,5.2,0.1,0.0000052,0.0000001,192307.6923,3698.224852
900,0.9,0.009,6.4,0.1,0.0000064,0.0000001,156250,2441.40625
1000,1,0.01,7.65,0.1,0.00000765,0.0000001,130718.9542,1708.7445
1100,1.1,0.011,10.1,0.1,0.0000101,0.0000001,99009.90099,980.2960494
