#m(g),m(kg),u[m](kg),V(mL),u[V](mL),V(m^3),u[V] (m^3),1/V (1/m^3),u[1/V](1/m^3)
200,0.2,0.002,2.2,0.1,0.0000022,0.0000001,454545.4545,20661.15702
300,0.3,0.003,2.3,0.1,0.0000023,0.0000001,434782.6087,18903.59168
400,0.4,0.004,2.55,0.1,0.00000255,0.0000001,392156.8627,15378.7005
500,0.5,0.005,2.7,0.1,0.0000027,0.0000001,370370.3704,13717.42112
600,0.6,0.006,3,0.1,0.000003,0.0000001,333333.3333,11111.11111
700,0.7,0.007,3.2,0.1,0.0000032,0.0000001,312500,9765.625
800,0.8,0.008,3.5,0.1,0.0000035,0.0000001,285714.2857,8163.265306
900,0.9,0.009,4,0.1,0.000004,0.0000001,250000,6250
1000,1,0.01,4.4,0.1,0.0000044,0.0000001,227272.7273,5165.289256
1100,1.1,0.011,5,0.1,0.000005,0.0000001,200000,4000
